municipality_code,grid_cell_index,latitude,longitude,intersection_area_m2,normalized_intersection_weight
065,419,45.7,14.4,28093131.6997244,0.16841705458139
065,420,45.7,14.5,75737045.1152427,0.454040161750004
065,421,45.7,14.6,6233048.77962653,0.0373668456670185
065,453,45.6,14.4,9251650.05939358,0.0554632238824444
065,454,45.6,14.5,46331525.2237188,0.277755399285678
065,455,45.6,14.6,1160528.32285173,0.00695731483346468
066,420,45.7,14.5,1970611.83857641,0.0146511582521107
066,421,45.7,14.6,57745843.3801589,0.429330359841691
066,422,45.7,14.7,23379848.623196,0.17382513155726
066,455,45.6,14.6,16696242.1216465,0.124133672979715
066,456,45.6,14.7,34709573.5731158,0.258059677369223
067,183,46.4,14.6,1394512.29442917,0.0126777656156213
067,184,46.4,14.7,25310445.2816124,0.230101874461163
067,185,46.4,14.8,32975034.9405014,0.2997820570049
067,217,46.3,14.6,2431577.80371778,0.0221059173123317
067,218,46.3,14.7,41904499.9063309,0.380961451666334
067,219,46.3,14.8,5980622.93761075,0.0543709339396495
068,251,46.2,14.6,264301.511149529,0.00353293460663931
068,252,46.2,14.7,32568080.5878148,0.435339542630965
068,253,46.2,14.8,28262900.9831882,0.377791941231221
068,254,46.2,14.9,12252722.027076,0.163782891314981
068,286,46.1,14.7,1462751.54979283,0.0195526902161928
069,194,46.4,15.7,11848144.2195159,0.162551683612052
069,195,46.4,15.8,6789061.37201453,0.0931431400327438
069,228,46.3,15.7,34341774.2055933,0.471155069681642
069,229,46.3,15.8,19909494.5406309,0.273150106673562
070,124,46.6,15.5,9582008.85693519,0.0649661154963504
070,125,46.6,15.6,56482982.6404757,0.38295518492906
070,126,46.6,15.7,23568765.5282512,0.159796465049868
070,127,46.6,15.8,2210841.33133465,0.0149895262486255
070,158,46.5,15.5,80478.560992006,0.00054564544517224
070,159,46.5,15.6,30048936.9873248,0.203732092091334
070,160,46.5,15.7,25457279.4799557,0.1726006084539
070,161,46.5,15.8,61115.2915812941,0.000414362285690209
071,249,46.2,14.4,15518541.0330957,0.199848033177052
071,250,46.2,14.5,4196820.19719059,0.0540467212876233
071,282,46.1,14.3,8099449.17668456,0.104304843111596
071,283,46.1,14.4,47015048.8673401,0.605460592321325
071,284,46.1,14.5,2821848.30765609,0.036339810102404
072,250,46.2,14.5,3545340.43080093,0.157849885396645
072,251,46.2,14.6,12221959.5676081,0.544160696193999
072,284,46.1,14.5,4434101.36710479,0.197420362387169
072,285,46.1,14.6,2258801.38909827,0.100569056022188
073,427,45.7,15.2,7727362.44795819,0.0711181433114625
073,428,45.7,15.3,43306739.1154563,0.398570003608274
073,429,45.7,15.4,12944802.9724337,0.11913642709686
073,461,45.6,15.2,8161611.9358064,0.0751147226770232
073,462,45.6,15.3,32940593.2411027,0.303166034550941
073,463,45.6,15.4,3574179.75558763,0.0328946687554398
074,118,46.6,14.9,2193.70486222683,8.2909164600701e-05
074,151,46.5,14.8,10416189.5752453,0.39367081273161
074,152,46.5,14.9,16040752.7248436,0.606246278103789
075,343,45.9,13.6,23434526.5372557,0.373442472175309
075,344,45.9,13.7,8465325.97600159,0.134899770866806
075,377,45.8,13.6,17150761.4293556,0.273307111098883
075,378,45.8,13.7,13702094.3948969,0.218350645859003
076,154,46.5,15.1,93753.9139042158,0.000836540979513092
076,155,46.5,15.2,31041194.4973976,0.276972236877907
076,156,46.5,15.3,24078976.9036015,0.214850240227743
076,188,46.4,15.1,6002881.36913411,0.0535620973175236
076,189,46.4,15.2,46098852.3382547,0.411327671385235
076,190,46.4,15.3,4757647.84521515,0.0424512132120776
077,252,46.2,14.7,4508201.04084972,0.0734151296557462
077,253,46.2,14.8,8230092.78898834,0.134025373692855
077,286,46.1,14.7,23222312.4961108,0.378170597841592
077,287,46.1,14.8,25446368.8028741,0.414388898809807
078,63,46.8,16.2,2065417.71134066,0.0143022103691254
078,64,46.8,16.3,15463884.8320701,0.107081358302401
078,97,46.7,16.2,48024116.3409046,0.332548235123411
078,98,46.7,16.3,72676102.5090434,0.503253603949087
078,99,46.7,16.4,5060110.5592109,0.0350392878455039
078,131,46.6,16.2,4521.9403350202,3.13126693903059e-05
078,132,46.6,16.3,1118329.07541565,0.00774399174108086
079,186,46.4,14.9,19521377.6061903,0.365048708490102
079,187,46.4,15,16619326.5397198,0.310780510048438
079,220,46.3,14.9,2488142.63502709,0.0465281330948578
079,221,46.3,15,14847243.2645084,0.277642648366602
080,96,46.7,16.1,14515645.386576,0.225511695290682
080,97,46.7,16.2,17075308.4445433,0.265278026046391
080,130,46.6,16.1,15040199.8642229,0.233661051821249
080,131,46.6,16.2,17736440.9336878,0.275549226841678
081,86,46.7,15.1,2964046.63791784,0.0761712567066228
081,87,46.7,15.2,706874.803629837,0.0181655515935321
081,120,46.6,15.1,24373143.5040675,0.62635079584977
081,121,46.6,15.2,10868863.1859767,0.279312395850075
082,214,46.3,14.3,28239785.3759504,0.999841545829202
082,248,46.2,14.3,4475.42092436076,0.000158454170797628
083,220,46.3,14.9,34075286.0927596,0.781550738109009
083,221,46.3,15,6938406.3478451,0.159139283165426
083,254,46.2,14.9,2585890.3263517,0.059309978725565
084,276,46.1,13.7,10517012.6485223,0.0376122022443761
